alert_key,risk_rank,occupation_code,total_asset,AGE,country,cur_type,amt,cycam,date,sar_flag
316973,1,2.0,43580.0,2,130,47,2671.0,174655.0,298,0
345532,1,2.0,104804.0,2,130,47,9256.0,174655.0,351,0
325899,3,15.0,86994.0,5,130,47,516.0,206512.0,320,0
344036,3,15.0,44832.0,5,130,47,45.0,206512.0,350,0
344036,3,15.0,44832.0,5,130,47,107.0,206512.0,350,0
351024,3,15.0,44832.0,5,130,47,723.0,206512.0,363,0
207511,3,12.0,9537.0,4,130,47,270.0,150206.0,83,0
207511,3,12.0,9537.0,4,130,47,241.0,150206.0,83,0
207511,3,12.0,9537.0,4,130,47,741.0,150206.0,83,0
207511,3,12.0,9537.0,4,130,47,280.0,150206.0,83,0
207511,3,12.0,9537.0,4,130,47,4062.0,150206.0,83,0
209678,3,12.0,9537.0,4,130,47,345.0,150206.0,88,0
209678,3,12.0,9537.0,4,130,47,201.0,150206.0,88,0
217887,3,12.0,11478.0,4,130,47,260.0,150206.0,105,0
217887,3,12.0,11478.0,4,44,47,112.0,150206.0,105,0
218389,3,12.0,11478.0,4,130,47,120.0,150206.0,106,0
219000,3,12.0,11478.0,4,130,47,1644.0,150206.0,109,0
219000,3,12.0,11478.0,4,44,47,1379.0,150206.0,109,0
219000,3,12.0,11478.0,4,130,47,183.0,150206.0,109,0
219940,3,12.0,11478.0,4,130,47,613.0,150206.0,110,0
219940,3,12.0,11478.0,4,130,47,145.0,150206.0,110,0
219940,3,12.0,11478.0,4,130,47,421.0,150206.0,110,0
220255,3,12.0,11478.0,4,130,47,794.0,150206.0,111,0
220255,3,12.0,11478.0,4,130,47,336.0,150206.0,111,0
220255,3,12.0,11478.0,4,130,47,188.0,150206.0,111,0
223138,3,12.0,11478.0,4,130,47,701.0,150206.0,117,0
224935,3,12.0,9155.0,4,130,47,776.0,150206.0,123,0
224935,3,12.0,9155.0,4,130,47,194.0,150206.0,123,0
224935,3,12.0,9155.0,4,130,47,49.0,150206.0,123,0
225571,3,12.0,9155.0,4,130,47,89.0,150206.0,124,0
225571,3,12.0,9155.0,4,130,47,69.0,150206.0,124,0
225571,3,12.0,9155.0,4,130,47,99.0,150206.0,124,0
225571,3,12.0,9155.0,4,130,47,228.0,150206.0,124,0
226139,3,12.0,9155.0,4,130,47,154.0,150206.0,125,0
226139,3,12.0,9155.0,4,130,47,180.0,150206.0,125,0
226139,3,12.0,9155.0,4,130,47,230.0,150206.0,125,0
226755,3,12.0,9155.0,4,130,47,114.0,150206.0,126,0
226755,3,12.0,9155.0,4,130,47,190.0,150206.0,126,0
226755,3,12.0,9155.0,4,130,47,154.0,150206.0,126,0
228365,3,12.0,9155.0,4,130,47,69.0,150206.0,127,0
228365,3,12.0,9155.0,4,130,47,179.0,150206.0,127,0
228365,3,12.0,9155.0,4,130,47,114.0,150206.0,127,0
228536,3,12.0,9155.0,4,130,47,169.0,150206.0,130,0
228536,3,12.0,9155.0,4,130,47,127.0,150206.0,130,0
229691,3,12.0,9155.0,4,130,47,213.0,150206.0,131,0
229691,3,12.0,9155.0,4,130,47,69.0,150206.0,131,0
230185,3,12.0,9155.0,4,130,47,105.0,150206.0,132,0
231403,3,12.0,9155.0,4,130,47,200.0,150206.0,134,0
232086,3,12.0,9155.0,4,130,47,190.0,150206.0,137,0
232086,3,12.0,9155.0,4,130,47,159.0,150206.0,137,0
232711,3,12.0,9155.0,4,130,47,925.0,150206.0,138,0
232711,3,12.0,9155.0,4,61,47,180.0,150206.0,138,0
233291,3,12.0,9155.0,4,130,47,432.0,150206.0,139,0
233291,3,12.0,9155.0,4,130,47,82.0,150206.0,139,0
233758,3,12.0,9155.0,4,130,47,199.0,150206.0,140,0
234478,3,12.0,9155.0,4,130,47,89.0,150206.0,141,0
235351,3,12.0,9155.0,4,130,47,271.0,150206.0,144,0
235351,3,12.0,9155.0,4,130,47,95.0,150206.0,144,0
235351,3,12.0,9155.0,4,130,47,182.0,150206.0,144,0
235351,3,12.0,9155.0,4,130,47,334.0,150206.0,144,0
235351,3,12.0,9155.0,4,130,47,40.0,150206.0,144,0
235970,3,12.0,9155.0,4,130,47,138.0,150206.0,145,0
235970,3,12.0,9155.0,4,130,47,89.0,150206.0,145,0
236316,3,12.0,9155.0,4,130,47,322.0,150206.0,146,0
237090,3,12.0,9155.0,4,130,47,89.0,150206.0,147,0
237090,3,12.0,9155.0,4,130,47,169.0,150206.0,147,0
238454,3,12.0,9155.0,4,130,47,489.0,150206.0,151,0
238454,3,12.0,9155.0,4,130,47,989.0,150206.0,151,0
239535,3,12.0,4093.0,4,130,47,169.0,150206.0,152,0
239535,3,12.0,4093.0,4,61,47,70.0,150206.0,152,0
239535,3,12.0,4093.0,4,130,47,80.0,150206.0,152,0
239535,3,12.0,4093.0,4,130,47,861.0,150206.0,152,0
240234,3,12.0,4093.0,4,130,47,195.0,150206.0,153,0
240234,3,12.0,4093.0,4,130,47,34.0,150206.0,153,0
241630,3,12.0,4093.0,4,130,47,105.0,150206.0,155,0
241630,3,12.0,4093.0,4,130,47,99.0,150206.0,155,0
241630,3,12.0,4093.0,4,130,47,1322.0,150206.0,155,0
242228,3,12.0,4093.0,4,130,47,683.0,150206.0,158,0
242228,3,12.0,4093.0,4,130,47,391.0,150206.0,158,0
242228,3,12.0,4093.0,4,130,47,61.0,150206.0,158,0
242794,3,12.0,4093.0,4,130,47,80.0,150206.0,159,0
242794,3,12.0,4093.0,4,130,47,220.0,150206.0,159,0
243619,3,12.0,4093.0,4,130,47,955.0,150206.0,160,0
243619,3,12.0,4093.0,4,130,47,455.0,150206.0,160,0
244089,3,12.0,4093.0,4,130,47,85.0,150206.0,161,0
244089,3,12.0,4093.0,4,130,47,180.0,150206.0,161,0
244789,3,12.0,4093.0,4,130,47,37.0,150206.0,162,0
245178,3,12.0,4093.0,4,44,47,255.0,150206.0,163,0
245178,3,12.0,4093.0,4,61,47,1091.0,150206.0,163,0
245738,3,12.0,4093.0,4,130,47,224.0,150206.0,165,0
245738,3,12.0,4093.0,4,130,47,309.0,150206.0,165,0
246418,3,12.0,4093.0,4,130,47,75.0,150206.0,166,0
246418,3,12.0,4093.0,4,130,47,455.0,150206.0,166,0
246418,3,12.0,4093.0,4,130,47,951.0,150206.0,166,0
247287,3,12.0,4093.0,4,19,7,115.0,150206.0,167,0
247948,3,12.0,4093.0,4,130,47,2497.0,150206.0,168,0
247948,3,12.0,4093.0,4,130,47,4767.0,150206.0,168,0
248294,3,12.0,4093.0,4,130,47,638.0,150206.0,169,0
