,alert_key,sar_flag,cust_id,risk_rank,occupation_code,total_asset,AGE,lupay,byymm,cycam,usgam,clamt,csamt,inamt,cucsm,cucah
0,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,11650.0,0,509326.0,24500.0,0.0,0.0,775.0,22940.0,0.0
1,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,13525.0,30,509326.0,4247.0,0.0,0.0,775.0,3432.0,0.0
2,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,3472.0,61,509326.0,7403.0,0.0,0.0,775.0,5060.0,0.0
3,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,5125.0,91,509326.0,91716.0,0.0,0.0,0.0,90349.0,0.0
4,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,9576.0,122,509326.0,83152.0,0.0,0.0,0.0,0.0,0.0
5,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,5124.0,153,509326.0,87474.0,0.0,0.0,0.0,4514.0,0.0
6,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,4756.0,183,509326.0,508907.0,0.0,0.0,0.0,0.0,0.0
7,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,4305.0,214,509326.0,505176.0,14203.0,-14203.0,0.0,0.0,14203.0
8,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,22980.0,244,509326.0,487093.0,14193.0,10.0,0.0,0.0,14193.0
9,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,5759.0,275,509326.0,486413.0,14193.0,0.0,0.0,0.0,14193.0
10,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,36325.0,306,509326.0,508609.0,14193.0,0.0,0.0,0.0,14193.0
11,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,290.0,334,509326.0,523793.0,16012.0,-1819.0,0.0,0.0,16012.0
12,171770,1,25cf26d9c40bb9f71292b809c4f92018b9bdfe3529c5106edffaa7943b284e9a,1,17.0,1913895.0,4,0.0,365,509326.0,529068.0,15992.0,20.0,0.0,0.0,15992.0
13,172480,1,7fde997da7e7a95280460889004bd2f23050bd8953de7ea648bd3fd9fc977fde,3,12.0,8251.0,4,30355.0,0,60710.0,5069.0,0.0,0.0,0.0,15918.0,0.0
14,172480,1,7fde997da7e7a95280460889004bd2f23050bd8953de7ea648bd3fd9fc977fde,3,12.0,8251.0,4,10118.0,30,60710.0,2679.0,0.0,0.0,0.0,7850.0,0.0
15,172480,1,7fde997da7e7a95280460889004bd2f23050bd8953de7ea648bd3fd9fc977fde,3,12.0,8251.0,4,3035.0,61,60710.0,48032.0,0.0,0.0,0.0,47231.0,0.0
